188.165.15.78 - - [27/Oct/2014 10:14:27] "GET /?page=19 HTTP/1.0" 200 92545 0.5056
95.108.129.207 - - [27/Oct/2014 10:21:29] "GET / HTTP/1.0" 200 92793 0.5156
208.115.111.71 - - [27/Oct/2014 10:26:33] "GET /order/94 HTTP/1.0" 200 41888 0.0921
212.44.73.214 - - [27/Oct/2014 10:33:37] "GET /promo4users?key=%D1%80%D0%B0%D0%B7%D0%B2%D0%B0%D0%BB%20%D1%81%D1%85%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5 HTTP/1.0" 200 36713 0.0031
212.44.73.214 - - [27/Oct/2014 10:33:37] "GET /css/notify.almost-flat.min.css HTTP/1.0" 200 1174 0.0020
212.44.73.214 - - [27/Oct/2014 10:33:37] "GET /css/selectize.default.css HTTP/1.0" 200 11947 0.0014
212.44.73.214 - - [27/Oct/2014 10:33:37] "GET /css/bg.css HTTP/1.0" 200 5377 0.0034
212.44.73.214 - - [27/Oct/2014 10:33:38] "GET /js/jquery.validate.min.js HTTP/1.0" 200 21068 0.0050
212.44.73.214 - - [27/Oct/2014 10:33:38] "GET /js/addons/notify.min.js HTTP/1.0" 200 2595 0.0013
212.44.73.214 - - [27/Oct/2014 10:33:38] "GET /js/jquery.fancybox.pack.js?v=2.1.5 HTTP/1.0" 200 23135 0.0018
212.44.73.214 - - [27/Oct/2014 10:33:38] "GET /js/selectize.min.js HTTP/1.0" 200 38075 0.0143
212.44.73.214 - - [27/Oct/2014 10:33:38] "GET /js/jquery.cookie.js HTTP/1.0" 200 3121 0.0029
212.44.73.214 - - [27/Oct/2014 10:33:38] "GET /js/combodate.js HTTP/1.0" 200 17669 0.0030
212.44.73.214 - - [27/Oct/2014 10:33:38] "GET /img/question.png HTTP/1.0" 200 21302 0.0390
212.44.73.214 - - [27/Oct/2014 10:33:38] "GET /img/free.png HTTP/1.0" 200 29235 0.0270
212.44.73.214 - - [27/Oct/2014 10:33:38] "GET /img/bp.gif HTTP/1.0" 200 8032 0.0040
212.44.73.214 - - [27/Oct/2014 10:33:39] "GET /img/noise_pattern.png HTTP/1.0" 200 9189 0.0080
212.44.73.214 - - [27/Oct/2014 10:33:39] "GET /img/div_pattern.png HTTP/1.0" 200 22487 0.0207
212.44.73.214 - - [27/Oct/2014 10:33:39] "GET /img/ui-bg_flat_75_ffffff_40x100.png HTTP/1.0" 200 178 0.0173
